회사명,거래소코드,회계년도,감사의견코드(IFRS)
(주)경농,002100,2015/12,UQ
(주)경농,002100,2016/12,UQ
(주)경농,002100,2017/12,UQ
(주)경농,002100,2018/12,UQ
(주)경농,002100,2019/12,UQ
(주)경동나비엔,009450,2011/12,UQ
(주)경동나비엔,009450,2012/12,UQ
(주)경동나비엔,009450,2013/12,UQ
(주)경동나비엔,009450,2014/12,UQ
(주)경동나비엔,009450,2015/12,UQ
(주)경동나비엔,009450,2016/12,UQ
(주)경동나비엔,009450,2017/12,UQ
(주)경동나비엔,009450,2018/12,UQ
(주)경동나비엔,009450,2019/12,UQ
(주)경동도시가스,267290,2017/12,UQ
(주)경동도시가스,267290,2018/12,UQ
(주)경동도시가스,267290,2019/12,UQ
(주)경동인베스트,012320,2011/12,UQ
(주)경동인베스트,012320,2012/12,UQ
(주)경동인베스트,012320,2013/12,UQ
(주)경동인베스트,012320,2014/12,UQ
(주)경동인베스트,012320,2015/12,UQ
(주)경동인베스트,012320,2016/12,UQ
(주)경동인베스트,012320,2017/12,UQ
(주)경동인베스트,012320,2018/12,UQ
(주)경동인베스트,012320,2019/12,UQ
(주)경방,000050,2011/12,UQ
(주)경방,000050,2012/12,UQ
(주)경방,000050,2013/12,UQ
(주)경방,000050,2014/12,UQ
(주)경방,000050,2015/12,UQ
(주)경방,000050,2016/12,UQ
(주)경방,000050,2017/12,UQ
(주)경방,000050,2018/12,UQ
(주)경방,000050,2019/12,UQ
(주)경인양행,012610,2011/12,UQ
(주)경인양행,012610,2012/12,UQ
(주)경인양행,012610,2013/12,UQ
(주)경인양행,012610,2014/12,UQ
(주)경인양행,012610,2015/12,UQ
(주)경인양행,012610,2016/12,UQ
(주)경인양행,012610,2017/12,UQ
(주)경인양행,012610,2018/12,UQ
(주)경인양행,012610,2019/12,UQ
(주)고바이오랩,348150,2019/12,UQ
(주)고영테크놀러지,098460,2011/12,UQ
(주)고영테크놀러지,098460,2012/12,UQ
(주)고영테크놀러지,098460,2013/12,UQ
(주)고영테크놀러지,098460,2014/12,UQ
(주)고영테크놀러지,098460,2015/12,UQ
(주)고영테크놀러지,098460,2016/12,UQ
(주)고영테크놀러지,098460,2017/12,UQ
(주)고영테크놀러지,098460,2018/12,UQ
(주)고영테크놀러지,098460,2019/12,UQ
(주)골드앤에스,035290,2011/12,UQ
(주)골드앤에스,035290,2012/12,UQ
(주)골드앤에스,035290,2013/12,UQ
(주)골드앤에스,035290,2014/12,UQ
(주)골드앤에스,035290,2015/12,UQ
(주)골드앤에스,035290,2016/12,UQ
(주)골드앤에스,035290,2017/12,UQ
(주)골드앤에스,035290,2018/12,UQ
(주)골드앤에스,035290,2019/12,DS
(주)골드퍼시픽,038530,2011/12,UQ
(주)골드퍼시픽,038530,2012/12,UQ
(주)골드퍼시픽,038530,2013/12,UQ
(주)골드퍼시픽,038530,2014/12,UQ
(주)골드퍼시픽,038530,2015/12,UQ
(주)골드퍼시픽,038530,2016/12,UQ
(주)골드퍼시픽,038530,2017/12,UQ
(주)골드퍼시픽,038530,2018/12,UQ
(주)골드퍼시픽,038530,2019/12,UQ
(주)골프존,215000,2015/12,UQ
(주)골프존,215000,2016/12,UQ
(주)골프존,215000,2017/12,UQ
(주)골프존,215000,2018/12,UQ
(주)골프존,215000,2019/12,UQ
(주)골프존뉴딘홀딩스,121440,2011/12,UQ
(주)골프존뉴딘홀딩스,121440,2012/12,UQ
(주)골프존뉴딘홀딩스,121440,2013/12,UQ
(주)골프존뉴딘홀딩스,121440,2014/12,UQ
(주)골프존뉴딘홀딩스,121440,2015/12,UQ
(주)골프존뉴딘홀딩스,121440,2016/12,UQ
(주)골프존뉴딘홀딩스,121440,2017/12,UQ
(주)골프존뉴딘홀딩스,121440,2018/12,UQ
(주)골프존뉴딘홀딩스,121440,2019/12,UQ
(주)광림,014200,2011/12,UQ
(주)광림,014200,2012/12,UQ
(주)광림,014200,2013/12,UQ
(주)광림,014200,2014/12,UQ
(주)광림,014200,2015/12,UQ
(주)광림,014200,2016/12,UQ
(주)광림,014200,2017/12,UQ
(주)광림,014200,2018/12,UQ
(주)광림,014200,2019/12,UQ
(주)광명전기,017040,2011/12,UQ
(주)광명전기,017040,2012/12,UQ
(주)광명전기,017040,2013/12,UQ
(주)광명전기,017040,2014/12,UQ
(주)광명전기,017040,2015/12,UQ
(주)광명전기,017040,2016/12,UQ
(주)광명전기,017040,2017/12,UQ
(주)광명전기,017040,2018/12,UQ
(주)광명전기,017040,2019/12,UQ
(주)광무,029480,2011/12,UQ
(주)광무,029480,2012/12,UQ
(주)광무,029480,2013/12,UQ
(주)광무,029480,2014/12,UQ
(주)광무,029480,2015/12,UQ
(주)광무,029480,2016/12,UQ
(주)광무,029480,2017/12,UQ
(주)광무,029480,2018/12,UQ
(주)광무,029480,2019/12,UQ
(주)구영테크,053270,2011/12,UQ
(주)구영테크,053270,2012/12,UQ
(주)구영테크,053270,2013/12,UQ
(주)구영테크,053270,2014/12,UQ
(주)구영테크,053270,2015/12,UQ
(주)구영테크,053270,2016/12,UQ
(주)구영테크,053270,2017/12,UQ
(주)구영테크,053270,2018/12,UQ
(주)구영테크,053270,2019/12,UQ
(주)국동,005320,2011/12,UQ
(주)국동,005320,2012/12,UQ
(주)국동,005320,2013/12,UQ
(주)국동,005320,2014/12,UQ
(주)국동,005320,2015/12,UQ
(주)국동,005320,2016/12,UQ
(주)국동,005320,2017/12,UQ
(주)국동,005320,2018/12,UQ
(주)국동,005320,2019/12,UQ
(주)국보,001140,2011/12,UQ
(주)국보,001140,2012/12,UQ
(주)국보,001140,2013/12,UQ
(주)국보,001140,2014/12,UQ
(주)국보,001140,2015/12,UQ
(주)국보,001140,2016/12,UQ
(주)국보,001140,2017/12,UQ
(주)국보,001140,2018/12,UQ
(주)국보,001140,2019/12,UQ
(주)국보디자인,066620,2011/12,UQ
(주)국보디자인,066620,2012/12,UQ
(주)국보디자인,066620,2013/12,UQ
(주)국보디자인,066620,2014/12,UQ
(주)국보디자인,066620,2015/12,UQ
(주)국보디자인,066620,2016/12,UQ
(주)국보디자인,066620,2017/12,UQ
(주)국보디자인,066620,2018/12,UQ
(주)국보디자인,066620,2019/12,UQ
(주)국순당,043650,2011/12,UQ
(주)국순당,043650,2012/12,UQ
(주)국순당,043650,2013/12,UQ
(주)국순당,043650,2014/12,UQ
(주)국순당,043650,2015/12,UQ
(주)국순당,043650,2016/12,UQ
(주)국순당,043650,2017/12,UQ
(주)국순당,043650,2018/12,UQ
(주)국순당,043650,2019/12,UQ
(주)그래디언트,035080,2011/12,UQ
(주)그래디언트,035080,2012/12,UQ
(주)그래디언트,035080,2013/12,UQ
(주)그래디언트,035080,2014/12,UQ
(주)그래디언트,035080,2015/12,UQ
(주)그래디언트,035080,2016/12,UQ
(주)그래디언트,035080,2017/12,UQ
(주)그래디언트,035080,2018/12,UQ
(주)그래디언트,035080,2019/12,UQ
(주)그리티,204020,2011/12,
(주)그리티,204020,2012/12,
(주)그리티,204020,2013/12,
(주)그리티,204020,2014/12,
(주)그리티,204020,2015/12,UQ
(주)그리티,204020,2016/12,UQ
(주)그리티,204020,2017/12,UQ
(주)그리티,204020,2018/12,UQ
(주)그리티,204020,2019/12,UQ
(주)그린플러스,186230,2011/12,
(주)그린플러스,186230,2012/12,
(주)그린플러스,186230,2013/12,
(주)그린플러스,186230,2014/12,
(주)그린플러스,186230,2015/12,
(주)그린플러스,186230,2016/12,
(주)그린플러스,186230,2017/12,
(주)그린플러스,186230,2018/12,UQ
(주)그린플러스,186230,2019/12,UQ
(주)글로벌스탠다드테크놀로지,083450,2011/12,UQ
(주)글로벌스탠다드테크놀로지,083450,2012/12,UQ
(주)글로벌스탠다드테크놀로지,083450,2013/12,UQ
(주)글로벌스탠다드테크놀로지,083450,2014/12,UQ
(주)글로벌스탠다드테크놀로지,083450,2015/12,UQ
(주)글로벌스탠다드테크놀로지,083450,2016/12,UQ
(주)글로벌스탠다드테크놀로지,083450,2017/12,UQ
(주)글로벌스탠다드테크놀로지,083450,2018/12,UQ
(주)글로벌스탠다드테크놀로지,083450,2019/12,UQ
(주)금비,008870,2011/09,
(주)금비,008870,2012/09,UQ
(주)금비,008870,2013/09,UQ
(주)금비,008870,2014/09,UQ
(주)금비,008870,2015/09,UQ
(주)금비,008870,2016/09,UQ
(주)금비,008870,2017/09,UQ
(주)금비,008870,2018/09,UQ
(주)금비,008870,2019/09,UQ
(주)금양,001570,2011/12,UQ
(주)금양,001570,2012/12,UQ
(주)금양,001570,2013/12,UQ
(주)금양,001570,2014/12,UQ
(주)금양,001570,2015/12,UQ
(주)금양,001570,2016/12,UQ
(주)금양,001570,2017/12,UQ
(주)금양,001570,2018/12,UQ
(주)금양,001570,2019/12,UQ
(주)금호에이치티,214330,2011/12,
(주)금호에이치티,214330,2012/12,
(주)금호에이치티,214330,2013/12,
(주)금호에이치티,214330,2014/12,UQ
(주)금호에이치티,214330,2015/12,UQ
(주)금호에이치티,214330,2016/12,UQ
(주)금호에이치티,214330,2017/12,UQ
(주)금호에이치티,214330,2018/12,UQ
(주)금호에이치티,214330,2019/12,UQ
(주)금화피에스시,036190,2011/12,UQ
(주)금화피에스시,036190,2012/12,UQ
(주)금화피에스시,036190,2013/12,UQ
(주)금화피에스시,036190,2014/12,UQ
(주)금화피에스시,036190,2015/12,UQ
(주)금화피에스시,036190,2016/12,UQ
(주)금화피에스시,036190,2017/12,UQ
(주)금화피에스시,036190,2018/12,UQ
(주)금화피에스시,036190,2019/12,UQ
(주)기가레인,049080,2013/12,UQ
(주)기가레인,049080,2014/12,UQ
(주)기가레인,049080,2015/12,UQ
(주)기가레인,049080,2016/12,UQ
(주)기가레인,049080,2017/12,UQ
(주)기가레인,049080,2018/12,UQ
(주)기가레인,049080,2019/12,UQ
(주)기산텔레콤,035460,2011/12,UQ
(주)기산텔레콤,035460,2012/12,UQ
(주)기산텔레콤,035460,2013/12,UQ
(주)기산텔레콤,035460,2014/12,UQ
(주)기산텔레콤,035460,2015/12,UQ
(주)기산텔레콤,035460,2016/12,UQ
(주)기산텔레콤,035460,2017/12,UQ
(주)기산텔레콤,035460,2018/12,UQ
(주)기산텔레콤,035460,2019/12,UQ
(주)까스텔바작,308100,2016/12,UQ
(주)까스텔바작,308100,2017/12,UQ
(주)까스텔바작,308100,2018/12,UQ
(주)까스텔바작,308100,2019/12,UQ
(주)나노,187790,2014/12,UQ
(주)나노,187790,2015/12,UQ
(주)나노,187790,2016/12,UQ
(주)나노,187790,2017/12,UQ
(주)나노,187790,2018/12,UQ
(주)나노,187790,2019/12,UQ
(주)나노브릭,286750,2015/12,
(주)나노브릭,286750,2016/12,
(주)나노브릭,286750,2017/12,UQ
(주)나노브릭,286750,2018/12,UQ
(주)나노브릭,286750,2019/12,UQ
(주)나노신소재,121600,2011/12,UQ
(주)나노신소재,121600,2012/12,UQ
(주)나노신소재,121600,2013/12,UQ
(주)나노신소재,121600,2014/12,UQ
(주)나노신소재,121600,2015/12,UQ
(주)나노신소재,121600,2016/12,UQ
(주)나노신소재,121600,2017/12,UQ
(주)나노신소재,121600,2018/12,UQ
(주)나노신소재,121600,2019/12,UQ
(주)나노엔텍,039860,2011/12,UQ
(주)나노엔텍,039860,2012/12,UQ
(주)나노엔텍,039860,2013/12,UQ
(주)나노엔텍,039860,2014/12,UQ
(주)나노엔텍,039860,2015/12,UQ
(주)나노엔텍,039860,2016/12,UQ
(주)나노엔텍,039860,2017/12,UQ
(주)나노엔텍,039860,2018/12,UQ
(주)나노엔텍,039860,2019/12,UQ
(주)나노트로닉스,010670,2011/12,UQ
(주)나노트로닉스,010670,2012/12,UQ
(주)나무가,190510,2011/12,
(주)나무가,190510,2012/12,
(주)나무가,190510,2013/12,UQ
(주)나무가,190510,2014/12,UQ
(주)나무가,190510,2015/12,UQ
(주)나무가,190510,2016/12,UQ
(주)나무가,190510,2017/12,UQ
(주)나무가,190510,2018/12,UQ
(주)나무가,190510,2019/12,UQ
(주)나스미디어,089600,2011/12,UQ
(주)나스미디어,089600,2012/12,UQ
(주)나스미디어,089600,2013/12,UQ
(주)나스미디어,089600,2014/12,UQ
(주)나스미디어,089600,2015/12,UQ
(주)나스미디어,089600,2016/12,UQ
(주)나스미디어,089600,2017/12,UQ
(주)나스미디어,089600,2018/12,UQ
(주)나스미디어,089600,2019/12,UQ
(주)나이스디앤비,130580,2011/12,UQ
(주)나이스디앤비,130580,2012/12,UQ
(주)나이스디앤비,130580,2013/12,UQ
(주)나이스디앤비,130580,2014/12,UQ
(주)나이스디앤비,130580,2015/12,UQ
(주)나이스디앤비,130580,2016/12,UQ
(주)나이스디앤비,130580,2017/12,UQ
(주)나이스디앤비,130580,2018/12,UQ
(주)나이스디앤비,130580,2019/12,UQ
(주)나이스홀딩스,034310,2011/12,UQ
(주)나이스홀딩스,034310,2012/12,UQ
(주)나이스홀딩스,034310,2013/12,UQ
(주)나이스홀딩스,034310,2014/12,UQ
(주)나이스홀딩스,034310,2015/12,UQ
(주)나이스홀딩스,034310,2016/12,UQ
(주)나이스홀딩스,034310,2017/12,UQ
(주)나이스홀딩스,034310,2018/12,UQ
(주)나이스홀딩스,034310,2019/12,UQ
(주)남선알미늄,008350,2011/12,UQ
(주)남선알미늄,008350,2012/12,UQ
(주)남선알미늄,008350,2013/12,UQ
(주)남선알미늄,008350,2014/12,UQ
(주)남선알미늄,008350,2015/12,UQ
(주)남선알미늄,008350,2016/12,UQ
(주)남선알미늄,008350,2017/12,UQ
(주)남선알미늄,008350,2018/12,UQ
(주)남선알미늄,008350,2019/12,UQ
(주)남성,004270,2011/12,UQ
(주)남성,004270,2012/12,UQ
(주)남성,004270,2013/12,UQ
(주)남성,004270,2014/12,UQ
(주)남성,004270,2015/12,UQ
(주)남성,004270,2016/12,UQ
(주)남성,004270,2017/12,UQ
(주)남성,004270,2018/12,UQ
(주)남성,004270,2019/12,UQ
(주)내츄럴엔도텍,168330,2012/12,UQ
(주)내츄럴엔도텍,168330,2013/12,UQ
(주)내츄럴엔도텍,168330,2014/12,UQ
(주)내츄럴엔도텍,168330,2015/12,UQ
(주)내츄럴엔도텍,168330,2016/12,UQ
(주)내츄럴엔도텍,168330,2017/12,UQ
(주)내츄럴엔도텍,168330,2018/12,UQ
(주)내츄럴엔도텍,168330,2019/12,UQ
(주)네오리진,094860,2011/12,UQ
(주)네오리진,094860,2012/12,UQ
(주)네오리진,094860,2013/12,UQ
(주)네오리진,094860,2014/12,UQ
(주)네오리진,094860,2015/12,UQ
(주)네오리진,094860,2016/12,UQ
(주)네오리진,094860,2017/12,UQ
(주)네오리진,094860,2018/12,UQ
(주)네오리진,094860,2019/12,UQ
(주)네오셈,253590,2016/12,UQ
(주)네오셈,253590,2017/12,UQ
(주)네오셈,253590,2018/12,UQ
(주)네오셈,253590,2019/12,UQ
(주)네오위즈,095660,2011/12,UQ
(주)네오위즈,095660,2012/12,UQ
(주)네오위즈,095660,2013/12,UQ
(주)네오위즈,095660,2014/12,UQ
(주)네오위즈,095660,2015/12,UQ
(주)네오위즈,095660,2016/12,UQ
(주)네오위즈,095660,2017/12,UQ
(주)네오위즈,095660,2018/12,UQ
(주)네오위즈,095660,2019/12,UQ
(주)네오위즈홀딩스,042420,2011/12,UQ
(주)네오위즈홀딩스,042420,2012/12,UQ
(주)네오위즈홀딩스,042420,2013/12,UQ
(주)네오위즈홀딩스,042420,2014/12,UQ
(주)네오위즈홀딩스,042420,2015/12,UQ
(주)네오위즈홀딩스,042420,2016/12,UQ
(주)네오위즈홀딩스,042420,2017/12,UQ
(주)네오위즈홀딩스,042420,2018/12,UQ
(주)네오위즈홀딩스,042420,2019/12,UQ
(주)네오이뮨텍,950220,2019/12,UQ
(주)네오크레마,311390,2016/12,
(주)네오크레마,311390,2017/12,
(주)네오크레마,311390,2018/12,UQ
(주)네오크레마,311390,2019/12,UQ
(주)네오티스,085910,2011/12,UQ
(주)네오티스,085910,2012/12,UQ
(주)네오티스,085910,2013/12,UQ
(주)네오티스,085910,2014/12,UQ
(주)네오티스,085910,2015/12,UQ
(주)네오티스,085910,2016/12,UQ
(주)네오티스,085910,2017/12,UQ
(주)네오티스,085910,2018/12,UQ
(주)네오티스,085910,2019/12,UQ
(주)네오팜,092730,2011/12,UQ
(주)네오팜,092730,2012/12,UQ
(주)네오팜,092730,2013/12,UQ
(주)네오팜,092730,2014/12,UQ
(주)네오팜,092730,2015/12,UQ
(주)네오팜,092730,2016/12,UQ
(주)네오팜,092730,2017/12,UQ
(주)네오팜,092730,2018/12,UQ
(주)네오팜,092730,2019/12,UQ
(주)네오퍼플,028090,2011/12,UQ
(주)네오퍼플,028090,2012/12,DS
(주)네오펙트,290660,2017/12,UQ
(주)네오펙트,290660,2018/12,UQ
(주)네오펙트,290660,2019/12,UQ
(주)네이블커뮤니케이션즈,153460,2011/12,UQ
(주)네이블커뮤니케이션즈,153460,2012/12,UQ
(주)네이블커뮤니케이션즈,153460,2013/12,UQ
(주)네이블커뮤니케이션즈,153460,2014/12,UQ
(주)네이블커뮤니케이션즈,153460,2015/12,UQ
(주)네이블커뮤니케이션즈,153460,2016/12,UQ
(주)네이블커뮤니케이션즈,153460,2017/12,UQ
(주)네이블커뮤니케이션즈,153460,2018/12,UQ
(주)네이블커뮤니케이션즈,153460,2019/12,UQ
(주)네패스,033640,2011/12,UQ
(주)네패스,033640,2012/12,UQ
(주)네패스,033640,2013/12,UQ
(주)네패스,033640,2014/12,UQ
(주)네패스,033640,2015/12,UQ
(주)네패스,033640,2016/12,UQ
(주)네패스,033640,2017/12,UQ
(주)네패스,033640,2018/12,UQ
(주)네패스,033640,2019/12,UQ
(주)넥센,005720,2011/12,UQ
(주)넥센,005720,2012/12,UQ
(주)넥센,005720,2013/12,UQ
(주)넥센,005720,2014/12,UQ
(주)넥센,005720,2015/12,UQ
(주)넥센,005720,2016/12,UQ
(주)넥센,005720,2017/12,UQ
(주)넥센,005720,2018/12,UQ
(주)넥센,005720,2019/12,UQ
(주)넥솔론,110570,2011/12,UQ
(주)넥솔론,110570,2012/12,UQ
(주)넥솔론,110570,2013/12,UQ
(주)넥솔론,110570,2014/12,UQ
(주)넥솔론,110570,2015/12,UQ
(주)넥솔론,110570,2016/12,DU
(주)넥스지,081970,2011/12,UQ
(주)넥스지,081970,2012/12,UQ
(주)넥스지,081970,2013/12,UQ
(주)넥스지,081970,2014/12,UQ
(주)넥스지,081970,2015/12,UQ
(주)넥스지,081970,2016/12,UQ
(주)넥스지,081970,2017/12,DS
(주)넥스트아이,137940,2011/12,UQ
(주)넥스트아이,137940,2012/12,UQ
(주)넥스트아이,137940,2013/12,UQ
(주)넥스트아이,137940,2014/12,UQ
(주)넥스트아이,137940,2015/12,UQ
(주)넥스트아이,137940,2016/12,UQ
(주)넥스트아이,137940,2017/12,UQ
(주)넥스트아이,137940,2018/12,UQ
(주)넥스트아이,137940,2019/12,UQ
(주)넥스트엔터테인먼트월드,160550,2013/12,UQ
(주)넥스트엔터테인먼트월드,160550,2014/12,UQ
(주)넥스트엔터테인먼트월드,160550,2015/12,UQ
(주)넥스트엔터테인먼트월드,160550,2016/12,UQ
(주)넥스트엔터테인먼트월드,160550,2017/12,UQ
(주)넥스트엔터테인먼트월드,160550,2018/12,UQ
(주)넥스트엔터테인먼트월드,160550,2019/12,UQ
(주)넥스틴,348210,2014/12,
(주)넥스틴,348210,2015/12,
(주)넥스틴,348210,2016/12,
(주)넥스틴,348210,2017/12,
(주)넥스틴,348210,2018/12,UQ
(주)넥스틴,348210,2019/12,UQ
(주)넵튠,217270,2015/12,UQ
(주)넵튠,217270,2016/12,UQ
(주)넵튠,217270,2017/12,UQ
(주)넵튠,217270,2018/12,UQ
(주)넵튠,217270,2019/12,UQ
(주)넷웨이브,047730,2011/12,UQ
(주)노랑풍선,104620,2011/12,
(주)노랑풍선,104620,2012/12,
(주)노랑풍선,104620,2013/12,
(주)노랑풍선,104620,2014/12,
(주)노랑풍선,104620,2015/12,UQ
(주)노랑풍선,104620,2016/12,UQ
(주)노랑풍선,104620,2017/12,UQ
(주)노랑풍선,104620,2018/12,UQ
(주)노랑풍선,104620,2019/12,UQ
(주)노루페인트,090350,2011/12,UQ
(주)노루페인트,090350,2012/12,UQ
(주)노루페인트,090350,2013/12,UQ
(주)노루페인트,090350,2014/12,UQ
(주)노루페인트,090350,2015/12,UQ
(주)노루페인트,090350,2016/12,UQ
(주)노루페인트,090350,2017/12,UQ
(주)노루페인트,090350,2018/12,UQ
(주)노루페인트,090350,2019/12,UQ
(주)노루홀딩스,000320,2011/12,UQ
(주)노루홀딩스,000320,2012/12,UQ
(주)노루홀딩스,000320,2013/12,UQ
(주)노루홀딩스,000320,2014/12,UQ
(주)노루홀딩스,000320,2015/12,UQ
(주)노루홀딩스,000320,2016/12,UQ
(주)노루홀딩스,000320,2017/12,UQ
(주)노루홀딩스,000320,2018/12,UQ
(주)노루홀딩스,000320,2019/12,UQ
(주)노바렉스,194700,2011/12,
(주)노바렉스,194700,2012/12,
(주)노바렉스,194700,2013/12,UQ
(주)노바렉스,194700,2014/12,UQ
(주)노바렉스,194700,2015/12,UQ
(주)노바렉스,194700,2016/12,UQ
(주)노바렉스,194700,2017/12,UQ
(주)노바렉스,194700,2018/12,UQ
(주)노바렉스,194700,2019/12,UQ
(주)노바텍,285490,2017/12,UQ
(주)노바텍,285490,2018/12,UQ
(주)노바텍,285490,2019/12,UQ
